player,unit,totalele,totalatk,totalammo,totalcs,totalhitrate,gear1line1,gear1line2,gear1line3,gear2line1,gear2line2,gear2line3,gear3line1,gear3line2,gear3line3,gear4line1,gear4line2,gear4line3,
ashan,helm,76.27,5.47,0.00,10.42,20.81,StatAccuracyCircle: 7.59,StatAtk: 5.47,StatChargeTime: 6.09,IncElementDmg: 26.36,StatCritical: 2.98,StatAccuracyCircle: 13.22,StatCritical: 4.00,IncElementDmg: 27.76,blank,StatChargeTime: 4.33,IncElementDmg: 22.15,blank
ashan,lud,84.40,20.10,141.97,0.00,0.00,StatChargeDamage: 6.18,StatCritical: 2.64,IncElementDmg: 20.75,IncElementDmg: 20.75,StatAtk: 5.47,blank,StatAtk: 14.63,IncElementDmg: 22.15,StatAmmoLoad: 64.82,StatAmmoLoad: 77.15,StatChargeDamage: 13.22,IncElementDmg: 20.75
ashan,qeq,71.80,24.17,0.00,0.00,9.00,StatAtk: 4.77,StatChargeDamage: 5.47,IncElementDmg: 17.95,IncElementDmg: 19.35,StatAtk: 7.59,blank,StatAccuracyCircle: 9.00,IncElementDmg: 15.15,blank,StatAtk: 11.81,IncElementDmg: 19.35,blank
ashan,bready,20.48,0.00,125.53,0.00,11.81,IncElementDmg: 10.94,StatCritical: 2.64,blank,StatAmmoLoad: 56.60,IncElementDmg: 9.54,blank,StatCritical: 5.71,StatAmmoLoad: 68.93,StatAccuracyCircle: 11.81,StatCritical: 5.71,blank,blank
ashan,viper,0.00,0.00,0.00,0.00,0.00,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
ashan,xguill,0.00,0.00,0.00,0.00,0.00,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
ashan,fasuka,83.02,19.40,72.12,0.00,17.99,StatCriticalDamage: 13.50,StatAtk: 7.59,IncElementDmg: 13.75,StatAtk: 11.81,IncElementDmg: 23.56,StatAccuracyCircle: 11.81,StatAccuracyCircle: 6.18,StatAmmoLoad: 36.06,IncElementDmg: 19.35,IncElementDmg: 26.36,StatCritical: 6.05,StatAmmoLoad: 36.06
ashan,frei,71.81,0.00,124.61,4.92,0.00,StatChargeTime: 4.92,IncElementDmg: 23.56,blank,StatDef: 6.88,IncElementDmg: 16.55,StatAmmoLoad: 40.17,StatCritical: 4.69,StatAmmoLoad: 56.60,IncElementDmg: 17.95,StatAmmoLoad: 27.84,IncElementDmg: 13.75,blank
ashan,modernia,23.56,6.18,169.81,4.92,22.22,StatAmmoLoad: 31.95,StatAtk: 6.18,blank,IncElementDmg: 23.56,StatAccuracyCircle: 7.59,blank,StatAccuracyCircle: 14.63,StatAmmoLoad: 68.93,StatChargeDamage: 9.00,StatAmmoLoad: 68.93,StatChargeTime: 4.92,blank
ashan,alice,66.46,25.03,68.93,9.25,6.88,StatAtk: 11.81,StatCriticalDamage: 16.44,StatAmmoLoad: 68.93,IncElementDmg: 20.75,StatAtk: 13.22,blank,IncElementDmg: 22.15,StatChargeTime: 4.33,StatAccuracyCircle: 6.88,StatCritical: 5.71,StatChargeTime: 4.92,IncElementDmg: 23.56
ashan,rrh,71.81,0.00,124.61,4.92,0.00,StatChargeTime: 4.92,IncElementDmg: 23.56,blank,StatDef: 6.88,IncElementDmg: 16.55,StatAmmoLoad: 40.17,StatCritical: 4.69,StatAmmoLoad: 56.60,IncElementDmg: 17.95,StatAmmoLoad: 27.84,IncElementDmg: 13.75,blank
ashan,drake,52.45,17.28,149.27,1.98,0.00,IncElementDmg: 13.75,StatChargeTime: 1.98,StatAmmoLoad: 44.28,IncElementDmg: 17.95,StatAtk: 6.88,blank,StatAmmoLoad: 40.17,StatCritical: 4.00,IncElementDmg: 20.75,StatAtk: 10.40,StatAmmoLoad: 64.82,blank
ashan,sbs,71.81,0.00,124.61,4.92,0.00,StatChargeTime: 4.92,IncElementDmg: 23.56,blank,StatDef: 6.88,IncElementDmg: 16.55,StatAmmoLoad: 40.17,StatCritical: 4.69,StatAmmoLoad: 56.60,IncElementDmg: 17.95,StatAmmoLoad: 27.84,IncElementDmg: 13.75,blank
ashan,wasuka,60.86,8.29,56.60,0.00,26.44,IncElementDmg: 27.76,StatAccuracyCircle: 14.63,blank,IncElementDmg: 23.56,StatAccuracyCircle: 11.81,blank,StatAmmoLoad: 56.60,StatAtk: 8.29,blank,StatCritical: 3.66,IncElementDmg: 9.54,StatCriticalDamage: 6.64
ashan,wrei,19.08,4.77,68.93,4.04,13.77,IncElementDmg: 9.54,StatAtk: 4.77,StatChargeTime: 4.04,StatAmmoLoad: 68.93,StatChargeDamage: 11.81,blank,StatAccuracyCircle: 9.00,StatCritical: 5.03,StatChargeDamage: 9.70,IncElementDmg: 9.54,StatAccuracyCircle: 4.77,blank
ashan,mana,0.00,0.00,0.00,0.00,0.00,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
